alert_no,station_name,sensor_name,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
A_op_640_y phasecurrent main transfer conveyor_2024-06-07 16:41:03.558,op_640,y phasecurrent main transfer conveyor,phasecurrent_type2,High limit,ten minute,0,7.25,1,2024-06-07 16:41:03.558, , ,Active,0,2024-06-07, , 
A_op_640_b phasecurrent main transfer conveyor_2024-06-07 16:39:43.566,op_640,b phasecurrent main transfer conveyor,phasecurrent_type2,Low limit,ten minute,0,-3.87,1,2024-06-07 16:39:43.566, , ,Active,0,2024-06-07, , 
A_op_640_running frequency send transfer conveyor_2024-06-07 16:20:00.327,op_640,running frequency send transfer conveyor,running_frequency_type1,High limit,ten minute,0,756.7,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_640_b phasecurrent send transfer conveyor_2024-06-07 16:39:43.566,op_640,b phasecurrent send transfer conveyor,phasecurrent_type2,Low limit,ten minute,0,-4.67,1,2024-06-07 16:39:43.566, , ,Active,0,2024-06-07, , 
A_op_640_running frequency send lifter conveyor_2024-06-07 16:20:00.327,op_640,running frequency send lifter conveyor,running_frequency_type1,High limit,ten minute,0,753.78,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_640_r phasecurrent send lifter conveyor_2024-06-07 16:46:20.775,op_640,r phasecurrent send lifter conveyor,phasecurrent_type2,High limit,ten minute,0,10.9,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_640_running frequency receive transfer conveyor_2024-06-07 16:20:00.327,op_640,running frequency receive transfer conveyor,running_frequency_type1,High limit,ten minute,0,1290.32,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_640_r phasecurrent receive transfer conveyor_2024-06-07 16:41:03.558,op_640,r phasecurrent receive transfer conveyor,phasecurrent_type2,High limit,ten minute,0,8.05,1,2024-06-07 16:41:03.558, , ,Active,0,2024-06-07, , 
A_op_640_y phasecurrent receive transfer conveyor_2024-06-07 16:46:20.775,op_640,y phasecurrent receive transfer conveyor,phasecurrent_type2,High limit,ten minute,0,7.49,1,2024-06-07 16:46:20.775, , ,Active,0,2024-06-07, , 
A_op_640_b phasecurrent receive transfer conveyor_2024-06-07 16:52:23.613,op_640,b phasecurrent receive transfer conveyor,phasecurrent_type2,High limit,one minute,0,4,1,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_70A_running frequency_2024-06-07 16:52:23.613,op_70A,running frequency,running_frequency_type1,High limit,one minute,0,1434.8,25,2024-06-07 16:52:23.613, , ,Active,0,2024-06-07, , 
A_op_70A_b phasecurrent_2024-06-07 16:25:00.425,op_70A,b phasecurrent,phasecurrent_type2,High limit,ten minute,0,2.7,1,2024-06-07 16:25:00.425, , ,Active,0,2024-06-07, , 
A_op_70A_running load in kw_2024-06-07 14:05:19.477,op_70A,running load in kw,running_load_in_kw_type1,Low limit,ten minute,0,-8.31,0,2024-06-07 14:05:19.477, , ,Active,0,2024-06-07, , 
A_op_70B_running frequency_2024-06-07 16:20:00.328,op_70B,running frequency,running_frequency_type1,High limit,ten minute,0,1253.99,25,2024-06-07 16:20:00.328, , ,Active,0,2024-06-07, , 
A_op_70B_running load in kw_2024-06-07 14:10:38.852,op_70B,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,8.46,0,2024-06-07 14:10:38.852, , ,Active,0,2024-06-07, , 
A_op_80_running frequency_2024-06-07 16:33:20.282,op_80,running frequency,running_frequency_type1,High limit,ten minute,0,425.64,25,2024-06-07 16:33:20.282, , ,Active,0,2024-06-07, , 
A_op_80_r phasecurrent_2024-06-07 16:52:23.614,op_80,r phasecurrent,phasecurrent_type2,High limit,one minute,0,18.23,1,2024-06-07 16:52:23.614, , ,Active,0,2024-06-07, , 
A_op_80_b phasecurrent_2024-06-07 16:10:59.976,op_80,b phasecurrent,phasecurrent_type2,High limit,ten minute,0,13.86,1,2024-06-07 16:10:59.976, , ,Active,0,2024-06-07, , 
A_op_80_running load in kw_2024-06-07 14:05:19.478,op_80,running load in kw,running_load_in_kw_type1,Low limit,ten minute,0,-0.05,0,2024-06-07 14:05:19.478, , ,Active,0,2024-06-07, , 
A_op_80_units consumed in kwh_2024-06-07 16:52:23.614,op_80,units consumed in kwh,units_consumed_in_kwh_type1,High limit,one minute,10,21.82,20,2024-06-07 16:52:23.614, , ,Active,0,2024-06-07, , 
A_op_80_r phasecurrent_2024-06-07 16:52:23.614,op_80,r phasecurrent,phasecurrent_type2,High limit,one minute,0,18.23,1,2024-06-07 16:52:23.614, , ,Active,0,2024-06-07, , 
A_op_80_b phasecurrent_2024-06-07 16:10:59.976,op_80,b phasecurrent,phasecurrent_type2,High limit,ten minute,0,13.86,1,2024-06-07 16:10:59.976, , ,Active,0,2024-06-07, , 
A_op_80_power factor_2024-06-07 14:05:19.478,op_80,power factor,power_factor_type2,Low limit,one minute,10,1.82,20,2024-06-07 14:05:19.478, , ,Active,0,2024-06-07, , 
